Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,timestamp,atr,atr_pct,label
2023-04-14 15:30:00-04:00,164.94000244140625,165.27999877929688,164.8300018310547,165.22999572753906,4814166,0.0,0.0,AAPL,2023-04-14 15:30:00-04:00,0.9282019478934151,0.5617635852415087,-1
2023-04-17 09:30:00-04:00,165.08999633789062,165.38999938964844,164.02999877929688,164.50999450683594,12067415,0.0,0.0,AAPL,2023-04-17 09:30:00-04:00,0.8710588727678571,0.5294869016190148,1
2023-04-17 10:30:00-04:00,164.51499938964844,164.9499969482422,164.07449340820312,164.58999633789062,4924943,0.0,0.0,AAPL,2023-04-17 10:30:00-04:00,0.8928811209542411,0.5424880860445642,1
2023-04-17 11:30:00-04:00,164.57000732421875,164.61000061035156,164.0500030517578,164.24009704589844,4002080,0.0,0.0,AAPL,2023-04-17 11:30:00-04:00,0.8843089512416294,0.5384245182188983,1
2023-04-17 12:30:00-04:00,164.25,164.75,164.14500427246094,164.6298065185547,2941467,0.0,0.0,AAPL,2023-04-17 12:30:00-04:00,0.8889519827706474,0.5399702529993908,1
2023-04-17 13:30:00-04:00,164.62120056152344,164.75999450683594,164.2449951171875,164.39999389648438,2486878,0.0,0.0,AAPL,2023-04-17 13:30:00-04:00,0.8575232369559151,0.5216078277325611,1
2023-04-17 14:30:00-04:00,164.38999938964844,165.1999969482422,164.24009704589844,165.18020629882812,4421143,0.0,0.0,AAPL,2023-04-17 14:30:00-04:00,0.881087166922433,0.5334096540165684,1
2023-04-17 15:30:00-04:00,165.18479919433594,165.33999633789062,165.10000610351562,165.26499938964844,4670528,0.0,0.0,AAPL,2023-04-17 15:30:00-04:00,0.8568071637834821,0.5184444177217292,1
2023-04-18 09:30:00-04:00,166.03909301757812,167.41000366210938,165.85000610351562,166.22500610351562,14246097,0.0,0.0,AAPL,2023-04-18 09:30:00-04:00,0.8814501081194196,0.5302752749309583,-1
2023-04-18 10:30:00-04:00,166.22999572753906,166.27000427246094,165.7899932861328,166.07000732421875,5461209,0.0,0.0,AAPL,2023-04-18 10:30:00-04:00,0.8511003766741071,0.5124949353512718,1
2023-04-18 11:30:00-04:00,166.0800018310547,166.22500610351562,165.64999389648438,166.19500732421875,4350934,0.0,0.0,AAPL,2023-04-18 11:30:00-04:00,0.8361020769391742,0.5030849544764473,1
2023-04-18 12:30:00-04:00,166.1999969482422,166.32000732421875,165.67999267578125,165.9250030517578,3733289,0.0,0.0,AAPL,2023-04-18 12:30:00-04:00,0.8261032104492188,0.49787747190309123,1
2023-04-18 13:30:00-04:00,165.9199981689453,166.74000549316406,165.86000061035156,166.63999938964844,4311261,0.0,0.0,AAPL,2023-04-18 13:30:00-04:00,0.8182460239955357,0.4910261803843745,-1
2023-04-18 14:30:00-04:00,166.63999938964844,166.74000549316406,166.0,166.3800048828125,4426921,0.0,0.0,AAPL,2023-04-18 14:30:00-04:00,0.7875311715262276,0.47333282150154676,-1
2023-04-18 15:30:00-04:00,166.3699951171875,166.69009399414062,166.0500030517578,166.44140625,4662103,0.0,0.0,AAPL,2023-04-18 15:30:00-04:00,0.8011093139648438,0.48131611719355066,-1
2023-04-19 09:30:00-04:00,165.8000030517578,166.64999389648438,165.5399932861328,166.63999938964844,9851524,0.0,0.0,AAPL,2023-04-19 09:30:00-04:00,0.7832521711077008,0.47002650862728934,-1
2023-04-19 10:30:00-04:00,166.63949584960938,167.3800048828125,166.5800018310547,167.14230346679688,7155057,0.0,0.0,AAPL,2023-04-19 10:30:00-04:00,0.7778592790876117,0.4653874351098283,-1
2023-04-19 11:30:00-04:00,167.13999938964844,167.88999938964844,167.0028076171875,167.81500244140625,7213880,0.0,0.0,AAPL,2023-04-19 11:30:00-04:00,0.8012302943638393,0.4774485491209847,-1
2023-04-19 12:30:00-04:00,167.82000732421875,168.16000366210938,167.6300048828125,167.9199981689453,4103769,0.0,0.0,AAPL,2023-04-19 12:30:00-04:00,0.7958733694893974,0.4739598488374591,-1
2023-04-19 13:30:00-04:00,167.92999267578125,168.0500030517578,167.58999633789062,167.89999389648438,3833227,0.0,0.0,AAPL,2023-04-19 13:30:00-04:00,0.791945321219308,0.4716768016725285,-1
2023-04-19 14:30:00-04:00,167.89999389648438,168.0800018310547,167.6699981689453,167.77000427246094,4234353,0.0,0.0,AAPL,2023-04-19 14:30:00-04:00,0.7526670183454242,0.4486302671382674,-1
2023-04-19 15:30:00-04:00,167.75999450683594,167.86000061035156,167.1699981689453,167.6199951171875,5147022,0.0,0.0,AAPL,2023-04-19 15:30:00-04:00,0.7848107474190849,0.4682083106316781,-1
2023-04-20 09:30:00-04:00,166.47000122070312,167.39999389648438,166.3419952392578,167.0399932861328,11948379,0.0,0.0,AAPL,2023-04-20 09:30:00-04:00,0.7228818620954242,0.4327597528438334,-1
2023-04-20 10:30:00-04:00,167.0399932861328,167.27000427246094,166.50999450683594,167.13999938964844,5560495,0.0,0.0,AAPL,2023-04-20 10:30:00-04:00,0.7428817749023438,0.4444667809113041,-1
2023-04-20 11:30:00-04:00,167.14239501953125,167.5399932861328,166.89999389648438,167.41000366210938,4665466,0.0,0.0,AAPL,2023-04-20 11:30:00-04:00,0.7475237165178571,0.4465227287292912,-1
2023-04-20 12:30:00-04:00,167.41000366210938,167.8699951171875,167.3800048828125,167.6009063720703,4255283,0.0,0.0,AAPL,2023-04-20 12:30:00-04:00,0.7368076869419643,0.4396203474617658,-1
2023-04-20 13:30:00-04:00,167.61000061035156,167.75,166.8300018310547,166.8699951171875,4191123,0.0,0.0,AAPL,2023-04-20 13:30:00-04:00,0.7396643502371651,0.44325784855313405,-1
2023-04-20 14:30:00-04:00,166.86000061035156,166.88999938964844,165.55999755859375,165.6199951171875,7583842,0.0,0.0,AAPL,2023-04-20 14:30:00-04:00,0.7818069458007812,0.4720486468119983,-1
2023-04-20 15:30:00-04:00,165.625,166.6699981689453,165.625,166.65060424804688,6040920,0.0,0.0,AAPL,2023-04-20 15:30:00-04:00,0.8110863821847099,0.4866987346637332,-1
2023-04-21 09:30:00-04:00,165.27000427246094,166.4521026611328,164.6699981689453,165.3798065185547,18055917,0.0,0.0,AAPL,2023-04-21 09:30:00-04:00,0.8732724870954242,0.5280405785197528,-1
2023-04-21 10:30:00-04:00,165.3699951171875,165.4600067138672,164.49000549316406,165.08999633789062,7489581,0.0,0.0,AAPL,2023-04-21 10:30:00-04:00,0.8854152134486607,0.5363227530979384,-1
2023-04-21 11:30:00-04:00,165.10000610351562,165.4199981689453,164.80999755859375,164.92909240722656,4492081,0.0,0.0,AAPL,2023-04-21 11:30:00-04:00,0.8656158447265625,0.5248412102997995,-1
2023-04-21 12:30:00-04:00,164.9250030517578,165.2100067138672,164.67999267578125,164.79750061035156,3937902,0.0,0.0,AAPL,2023-04-21 12:30:00-04:00,0.865616934640067,0.5252609605328531,-1
