timestamp,Open,High,Low,Close,Volume,buy_vol_frac,buy_volume,sell_volume,ofi,vpin,vpin_norm,vpin_signal
2024-03-17 11:00:00+00:00,66861.8828125,67339.359375,66427.8203125,66506.8984375,2928641,0.1,292864.10000000003,2635776.9,2342912.8,0.7678405189392632,0.9237170360045779,1
2024-03-17 13:00:00+00:00,66980.71875,67299.8984375,66607.9375,66980.71875,67919872,0.9,61127884.800000004,6791987.199999998,54335897.60000001,0.7753954755436212,0.9960629957319387,1
2024-03-17 14:00:00+00:00,67498.4375,68009.4609375,66859.4140625,67879.8828125,564936705,0.9,508443034.5,56493670.499999985,451949364.0,0.7765237193444033,1.0,1
2024-03-17 16:00:00+00:00,67997.5625,68311.078125,67710.46875,67997.5625,736509952,0.9,662858956.8000001,73650995.19999999,589207961.6000001,0.7767361831530704,1.0,1
2024-03-17 17:00:00+00:00,68520.0546875,68796.46875,66811.5546875,67892.09375,181215242,0.1,18121524.2,163093717.8,144972193.60000002,0.7763170612785902,1.0,1
2024-03-18 04:00:00+00:00,68367.1796875,68483.1953125,67675.8671875,68367.1796875,698630144,0.9,628767129.6,69863014.39999999,558904115.2,0.7762826323584542,1.0,1
2024-03-18 05:00:00+00:00,68693.5,68880.984375,68188.375,68693.5,722632704,0.9,650369433.6,72263270.39999999,578106163.2,0.7763832779362189,1.0,1
2024-03-18 06:00:00+00:00,68452.6953125,68643.4921875,67369.84375,67784.6171875,31969283,0.1,3196928.3000000003,28772354.7,25575426.4,0.7796316176867953,1.0,1
2024-03-18 10:00:00+00:00,68039.1875,68504.3125,67735.6328125,68500.375,1695746,0.9,1526171.4000000001,169574.59999999998,1356596.8000000003,0.7795725771283524,1.0,1
2024-03-18 13:00:00+00:00,67510.4609375,68552.9453125,67312.03125,67510.4609375,1026830336,0.1,102683033.60000001,924147302.4,821464268.8,0.7795941453697685,1.0,1
2024-03-18 14:00:00+00:00,66798.4453125,67675.6953125,66655.328125,66798.4453125,1895047168,0.1,189504716.8,1705542451.2,1516037734.4,0.7801126433228475,1.0,1
2024-03-18 15:00:00+00:00,67415.046875,67415.046875,66695.28125,67415.046875,924012544,0.9,831611289.6,92401254.39999998,739210035.2,0.7803093326898368,1.0,1
2024-03-18 16:00:00+00:00,67035.0859375,67998.5703125,67035.0859375,67035.0859375,799916032,0.1,79991603.2,719924428.8000001,639932825.6,0.7804154653772287,1.0,1
2024-03-18 17:00:00+00:00,67426.34375,67426.34375,66610.125,67426.34375,1650589696,0.9,1485530726.4,165058969.59999996,1320471756.8000002,0.7805006239104918,1.0,1
2024-03-18 18:00:00+00:00,67011.984375,67424.2265625,66987.6171875,67011.984375,373829632,0.1,37382963.2,336446668.8,299063705.6,0.7797610296992178,1.0,1
2024-03-18 19:00:00+00:00,67000.78125,67359.7109375,66987.6484375,67000.78125,1132191744,0.4,452876697.6,679315046.4,226438348.79999995,0.76906799688691,0.9354713153230656,1
2024-03-18 20:00:00+00:00,67309.8515625,67334.3515625,67032.3125,67309.8515625,415420416,0.9,373878374.40000004,41542041.599999994,332336332.8000001,0.7684818781400383,0.9298586658430981,1
2024-03-18 21:00:00+00:00,67607.4765625,67835.1328125,67339.3359375,67607.4765625,739770368,0.9,665793331.2,73977036.79999998,591816294.4000001,0.7664067543414431,0.9099873640442423,1
